"date","FXAUDCAD","FXCNYCAD","FXEURCAD","FXGBPCAD","FXINRCAD","FXJPYCAD","FXMXNCAD","FXUSDCAD"
"2017-12-19","0.9870","0.1951","1.5242","1.7222","0.02013","0.01141","0.06717","1.2886"
"2017-12-20","0.9849","0.1952","1.5246","1.7211","0.02003","0.01133","0.06677","1.2842"
"2017-12-21","0.9801","0.1934","1.5111","1.7021","0.01989","0.01123","0.06559","1.2734"
"2017-12-22","0.9845","0.1940","1.5113","1.7067","0.01993","0.01125","0.06527","1.2759"
"2017-12-27","0.9825","0.1928","1.5042","1.6946","0.01971","0.01116","0.06398","1.2641"
"2017-12-28","0.9808","0.1927","1.5041","1.6925","0.01964","0.01115","0.06384","1.2588"
"2017-12-29","0.9801","0.1928","1.5052","1.6961","0.01964","0.01114","0.06380","1.2545"
"2018-01-02","0.9796","0.1928","1.5082","1.6995","0.01972","0.01115","0.06423","1.2517"
"2018-01-03","0.9823","0.1927","1.5067","1.6951","0.01973","0.01115","0.06468","1.2533"
"2018-01-04","0.9827","0.1927","1.5106","1.6952","0.01974","0.01110","0.06490","1.2515"
"2018-01-05","0.9748","0.1911","1.4936","1.6822","0.01957","0.01096","0.06440","1.2403"
"2018-01-08","0.9736","0.1911","1.4868","1.6843","0.01957","0.01099","0.06458","1.2422"
"2018-01-09","0.9740","0.1908","1.4853","1.6843","0.01956","0.01106","0.06458","1.2454"
"2018-01-10","0.9799","0.1920","1.4960","1.6893","0.01964","0.01121","0.06486","1.2496"
"2018-01-11","0.9880","0.1929","1.5088","1.6963","0.01968","0.01126","0.06482","1.2535"
"2018-01-12","0.9865","0.1935","1.5190","1.7120","0.01966","0.01124","0.06561","1.2504"
"2018-01-15","0.9896","0.1930","1.5242","1.7141","0.01956","0.01124","0.06598","1.2422"
"2018-01-16","0.9880","0.1927","1.5201","1.7108","0.01939","0.01122","0.06602","1.2419"
"2018-01-17","0.9928","0.1931","1.5203","1.7199","0.01945","0.01121","0.06658","1.2425"
"2018-01-18","0.9950","0.1938","1.5234","1.7277","0.01949","0.01121","0.06676","1.2446"
"2018-01-19","0.9970","0.1946","1.5246","1.7274","0.01952","0.01126","0.06701","1.2459"
"2018-01-22","0.9980","0.1945","1.5258","1.7377","0.01950","0.01123","0.06665","1.2458"
"2018-01-23","0.9946","0.1944","1.5293","1.7414","0.01953","0.01128","0.06627","1.2454"
"2018-01-24","0.9960","0.1937","1.5291","1.7531","0.01938","0.01130","0.06665","1.2341"
"2018-01-25","0.9950","0.1949","1.5363","1.7558","0.01939","0.01132","0.06669","1.2323"
"2018-01-26","0.9984","0.1950","1.5314","1.7482","0.01937","0.01133","0.06656","1.2321"
"2018-01-29","0.9982","0.1947","1.5257","1.7352","0.01940","0.01132","0.06627","1.2335"
"2018-01-30","0.9969","0.1950","1.5300","1.7427","0.01936","0.01134","0.06596","1.2328"
"2018-01-31","0.9929","0.1955","1.5286","1.7433","0.01934","0.01126","0.06601","1.2293"
"2018-02-01","0.9858","0.1951","1.5331","1.7497","0.01920","0.01123","0.06668","1.2288"
"2018-02-02","0.9834","0.1965","1.5420","1.7511","0.01931","0.01123","0.06684","1.2380"
"2018-02-05","0.9890","0.1985","1.5500","1.7495","0.01948","0.01136","0.06703","1.2483"
"2018-02-06","0.9868","0.1994","1.5495","1.7447","0.01950","0.01146","0.06699","1.2530"
"2018-02-07","0.9840","0.2001","1.5423","1.7424","0.01952","0.01147","0.06715","1.2546"
"2018-02-08","0.9817","0.1989","1.5429","1.7573","0.01958","0.01153","0.06678","1.2585"
"2018-02-09","0.9837","0.2002","1.5431","1.7408","0.01959","0.01161","0.06701","1.2609"
